"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID"
"Cfa.11815.1.A1_at",1.61713824769046,8.75107689604503,3.57326091092021,0.000970995084560427,0.0284845081554588,-0.781909577042577,NA,NA,NA
"Cfa.12204.1.A1_at",1.27717867360355,10.1005747555683,4.95354063803867,1.50395470149136e-05,0.00389895726377593,3.02662580930371,"UPP1","uridine phosphorylase 1","480772"
"Cfa.12204.1.A1_s_at",1.19182754211171,10.0030005254783,5.4780406807918,2.88102846816235e-06,0.00248629241082016,4.54451099000185,"UPP1","uridine phosphorylase 1","480772"
"Cfa.12237.1.A1_at",1.26858346935523,9.93273880695718,4.18548953709739,0.000160219193814594,0.0114266402881641,0.857630311787077,"CCL23","chemokine (C-C motif) ligand 23","480602"
"Cfa.13369.1.A1_at",1.45186113804039,9.04161195725899,4.71959997100451,3.11912784813801e-05,0.00534451392432675,2.35688833785733,"PTX3","pentraxin 3","100685178"
"Cfa.17145.1.S1_at",-1.0547469580664,10.2189430364105,-3.31653079671854,0.00200141391283415,0.042117773955412,-1.43413011315928,"PADI3","peptidyl arginine deiminase 3","478216"
"Cfa.20785.1.S1_s_at",1.02324386458543,10.1366110646086,4.32480888401218,0.000105046975784083,0.00956792429270699,1.24376503294489,"SRGN","serglycin","609421"
"Cfa.21056.1.S1_at",1.01900879581479,9.33229361370835,4.48027319471937,6.53108753164607e-05,0.00776423624100521,1.67907049594975,"BCL2A1","BCL2 related protein A1","488770"
"Cfa.3173.2.A1_a_at",1.27281779605192,8.69090880846153,3.49951972047804,0.00119787080402338,0.0319281943592123,-0.971708608215058,"LOC102155886","serum amyloid A protein-like","102155886"
"Cfa.3173.2.A1_at",1.3906756792398,9.94756963943462,3.53676577256928,0.00107756299419541,0.0303008417166621,-0.876079661785139,"LOC102155886","serum amyloid A protein-like","102155886"
"Cfa.3173.2.A1_x_at",1.44407038416537,9.75906458600833,3.74651936879268,0.000589019397400001,0.0221965409519344,-0.328827443674205,"LOC102155886","serum amyloid A protein-like","102155886"
"Cfa.3510.1.S1_s_at",1.53556404740334,7.35630757262667,4.14576723403518,0.000180582657191645,0.0121941113727547,0.748293642010282,"CXCL8","C-X-C motif chemokine ligand 8","403850"
"Cfa.3510.1.S2_at",2.13703347256518,8.25672265689527,4.21525302568341,0.000146449484614672,0.0108284179670108,0.939782024444033,"CXCL8","C-X-C motif chemokine ligand 8","403850"
