"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/10","28/6643",0.107142857142857,71.175,14.447441669114,7.89196057169286e-06,0.00102595487432007,0.00058151288423,"CXCL8/CCL2/MMP7",3
"BP","GO:0019730","antimicrobial humoral response","3/10","37/6643",0.0810810810810811,53.8621621621622,12.5190374027098,1.85850753673214e-05,0.00120802989887589,0.00068471330300658,"CXCL8/CCL2/MMP7",3
"BP","GO:0006959","humoral immune response","3/10","67/6643",0.0447761194029851,29.744776119403,9.18142025527431,0.000111888368822026,0.00484849598228781,0.00274813537457609,"CXCL8/CCL2/MMP7",3
"BP","GO:0006509","membrane protein ectodomain proteolysis","2/10","15/6643",0.133333333333333,88.5733333333333,13.183195647726,0.000211949506581487,0.00688835896389832,0.00390433301597476,"TIMP1/MMP7",2
"BP","GO:0033619","membrane protein proteolysis","2/10","20/6643",0.1,66.43,11.3778178714256,0.00038198983096498,0.00753469285055042,0.00427067610962372,"TIMP1/MMP7",2
"BP","GO:0070098","chemokine-mediated signaling pathway","2/10","20/6643",0.1,66.43,11.3778178714256,0.00038198983096498,0.00753469285055042,0.00427067610962372,"CXCL8/CCL2",2
"BP","GO:1990868","response to chemokine","2/10","22/6643",0.0909090909090909,60.3909090909091,10.8333794866825,0.000463673406187718,0.00753469285055042,0.00427067610962372,"CXCL8/CCL2",2
"BP","GO:1990869","cellular response to chemokine","2/10","22/6643",0.0909090909090909,60.3909090909091,10.8333794866825,0.000463673406187718,0.00753469285055042,0.00427067610962372,"CXCL8/CCL2",2
"BP","GO:0071621","granulocyte chemotaxis","2/10","35/6643",0.0571428571428571,37.96,8.51187827944978,0.00118189754684987,0.0170718534544981,0.00967635418473575,"CXCL8/CCL2",2
"BP","GO:0097530","granulocyte migration","2/10","40/6643",0.05,33.215,7.93436033206752,0.00154316427737484,0.0188907148602601,0.0107072877750462,"CXCL8/CCL2",2
"BP","GO:0016477","cell migration","4/10","375/6643",0.0106666666666667,7.08586666666667,4.7105108693661,0.00159844510356047,0.0188907148602601,0.0107072877750462,"CXCL8/CCL2/S100P/MMP7",4
"BP","GO:0048870","cell motility","4/10","440/6643",0.00909090909090909,6.03909090909091,4.24690042164966,0.0028920215100356,0.0313302330253856,0.017758026816008,"CXCL8/CCL2/S100P/MMP7",4
"BP","GO:0034097","response to cytokine","3/10","221/6643",0.0135746606334842,9.01764705882353,4.70654654176317,0.00366533482883055,0.0334261532439658,0.0189459977901021,"CXCL8/TIMP1/CCL2",3
"BP","GO:1901652","response to peptide","3/10","222/6643",0.0135135135135135,8.97702702702703,4.69364947153066,0.0037125646289461,0.0334261532439658,0.0189459977901021,"CXCL8/TIMP1/CCL2",3
"BP","GO:0097529","myeloid leukocyte migration","2/10","64/6643",0.03125,20.759375,6.1670530493475,0.00391227463622508,0.0334261532439658,0.0189459977901021,"CXCL8/CCL2",2
"BP","GO:0030595","leukocyte chemotaxis","2/10","66/6643",0.0303030303030303,20.130303030303,6.06421141068655,0.0041559257714269,0.0334261532439658,0.0189459977901021,"CXCL8/CCL2",2
"BP","GO:0006952","defense response","4/10","500/6643",0.008,5.3144,3.89501907405603,0.00461622310525949,0.0334261532439658,0.0189459977901021,"LOC102155886/CXCL8/CCL2/MMP7",4
"BP","GO:0006954","inflammatory response","3/10","240/6643",0.0125,8.30375,4.47459987580236,0.00462823660301065,0.0334261532439658,0.0189459977901021,"LOC102155886/CXCL8/CCL2",3
"CC","GO:0005615","extracellular space","5/12","393/8143",0.0127226463104326,8.63337574215437,5.95862776442741,0.000152534676562719,0.00198295079531535,0.000481688452303323,"CCL23/LOC102155886/CXCL8/TIMP1/CCL2",5
"CC","GO:0005882","intermediate filament","2/12","65/8143",0.0307692307692308,20.8794871794872,6.18150354099976,0.00393291726769246,0.0214181812934277,0.00520279707532658,"KRT28/KRT27",2
"CC","GO:0045111","intermediate filament cytoskeleton","2/12","78/8143",0.0256410256410256,17.3995726495727,5.5906439981472,0.00561804652468382,0.0214181812934277,0.00520279707532658,"KRT28/KRT27",2
"CC","GO:0030312","external encapsulating structure","2/12","95/8143",0.0210526315789474,14.2859649122807,5.00374433532105,0.00823776203593374,0.0214181812934277,0.00520279707532658,"TIMP1/MMP7",2
"CC","GO:0031012","extracellular matrix","2/12","95/8143",0.0210526315789474,14.2859649122807,5.00374433532105,0.00823776203593374,0.0214181812934277,0.00520279707532658,"TIMP1/MMP7",2
"CC","GO:0034364","high-density lipoprotein particle","1/12","15/8143",0.0666666666666667,45.2388888888889,6.58782697514135,0.0218969355969735,0.0420299580048291,0.0102097063979342,"LOC102155886",1
"CC","GO:0034358","plasma lipoprotein particle","1/12","19/8143",0.0526315789473684,35.7149122807018,5.81958621953058,0.0276614171738081,0.0420299580048291,0.0102097063979342,"LOC102155886",1
"CC","GO:1990777","lipoprotein particle","1/12","19/8143",0.0526315789473684,35.7149122807018,5.81958621953058,0.0276614171738081,0.0420299580048291,0.0102097063979342,"LOC102155886",1
"CC","GO:0032994","protein-lipid complex","1/12","20/8143",0.05,33.9291666666667,5.66397989308846,0.0290976632341124,0.0420299580048291,0.0102097063979342,"LOC102155886",1
"MF","GO:0005125","cytokine activity","4/12","104/7227",0.0384615384615385,23.1634615384615,9.28419432174726,1.83348873793955e-05,0.00049182675409542,0.000341885529162656,"CCL23/CXCL8/TIMP1/CCL2",4
"MF","GO:0008009","chemokine activity","3/12","33/7227",0.0909090909090909,54.75,12.620357449449,1.85595001545442e-05,0.00049182675409542,0.000341885529162656,"CCL23/CXCL8/CCL2",3
"MF","GO:0042379","chemokine receptor binding","3/12","40/7227",0.075,45.16875,11.4233298115793,3.33889249940567e-05,0.000589871008228336,0.000410039429751574,"CCL23/CXCL8/CCL2",3
"MF","GO:0001664","G protein-coupled receptor binding","3/12","93/7227",0.032258064516129,19.4274193548387,7.29391797285056,0.000417276990289793,0.00389616401549382,0.00270835631662927,"CCL23/CXCL8/CCL2",3
"MF","GO:0048018","receptor ligand activity","4/12","240/7227",0.0166666666666667,10.0375,5.80670808151265,0.000475748033958406,0.00389616401549382,0.00270835631662927,"CCL23/CXCL8/TIMP1/CCL2",4
"MF","GO:0030546","signaling receptor activator activity","4/12","242/7227",0.0165289256198347,9.95454545454546,5.77815858350158,0.000491020829138325,0.00389616401549382,0.00270835631662927,"CCL23/CXCL8/TIMP1/CCL2",4
"MF","GO:0030545","signaling receptor regulator activity","4/12","245/7227",0.0163265306122449,9.83265306122449,5.73595487339064,0.000514587700159561,0.00389616401549382,0.00270835631662927,"CCL23/CXCL8/TIMP1/CCL2",4
"MF","GO:0005126","cytokine receptor binding","3/12","123/7227",0.024390243902439,14.6890243902439,6.24446176207848,0.000946069086799073,0.00626770770004386,0.00435689711025889,"CCL23/CXCL8/CCL2",3
