"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","cfa04010","MAPK signaling pathway","281/7472","292/9973",0.962328767123288,1.28443586650436,8.52645285472808,1.53998312934674e-23,5.26674230236586e-21,9.56410575067977e-22,"608981/479406/489968/403486/474652/611498/612559/484147/403507/442860/442859/449021/485189/480505/489508/100856477/483660/476585/477039/489967/100684766/442964/480618/612199/483759/477240/480481/486563/403897/491857/100855728/612861/485790/100686332/403856/609969/476262/491749/490244/481183/481628/403516/483925/479975/485004/607616/403431/478492/478347/403872/480454/489095/488148/476413/476215/474873/403438/481084/479155/102154318/477340/490831/607170/474503/100688368/489117/484990/490904/479460/479678/403869/485409/612212/442951/484028/491597/483312/490263/474573/403871/403461/489188/475045/486683/612101/609027/484938/483664/477024/489547/476865/486469/403811/484648/480344/477746/483665/479248/403727/100855877/480673/478061/480632/611262/474850/484756/479158/477502/403494/483225/611939/490431/478802/486858/476036/490765/403567/478806/100856359/478175/480048/478464/481331/610342/487113/477575/491160/403533/612902/607885/488596/403634/403974/403656/403657/403714/403802/403735/415125/403782/403857/403868/403883/403915/403924/403979/487514/610255/403402/404306/442985/442986/442968/403955/490796/612448/403922/481105/611329/607076/481271/610203/611653/480488/477480/403556/611002/490905/488508/478255/477733/482839/482594/490792/480660/482666/481279/607724/403441/475734/486025/100688110/100855820/609626/608458/477082/485692/482932/484724/608459/483640/477796/486601/487512/607952/484742/608811/487515/488574/481163/100688870/607227/611707/483680/483681/486884/481464/480463/610892/403612/487345/487353/607023/490305/612814/100685499/483729/483732/488673/490926/488126/488774/490682/612105/488808/491860/608125/486731/486735/611773/480915/607262/487421/491030/490404/611641/491071/100686650/100855780/489943/100856705/490433/491083/491974/491989/609559/489532/490878/612454/611734/611764/481243/609429/481245/100684309/492240/612821/485069/492247/612404/611795/482154/481328/484198/484315/611509/100855828/611946/475176/102156745/607439/442938/484395/475526/487085/482509/484454/484504/484527/484528/106559217",281
"Environmental Information Processing","Signal transduction","cfa04024","cAMP signaling pathway","215/7472","220/9973",0.977272727272727,1.30438181331516,7.8906657853594,2.43031073029942e-21,4.155831348812e-19,7.54675437303503e-20,"480087/608981/476535/474652/442859/449021/487289/403455/607357/403472/442964/100856339/482994/479797/485856/100855424/403480/480291/403943/488636/403424/486808/403859/100686841/490244/403516/483925/479975/403430/478347/483244/608594/487221/431695/476413/608289/403731/609956/475266/403454/403654/485046/481036/448791/492302/494009/494007/450187/442957/403461/482687/487996/403607/610764/476865/484648/477746/478624/479540/100855877/403483/477098/611810/403508/477085/403954/475257/608394/483225/483322/611939/609938/414755/403558/478464/403615/479921/477575/490031/403992/478227/607885/480416/403587/399518/403741/403797/403858/403891/403910/403960/403963/403966/403968/403973/403993/476487/484137/487235/403557/403955/607433/481271/482384/478171/403554/484073/403556/611934/403878/403566/474789/403571/479866/492238/490792/612941/487188/486977/478351/489427/481627/102153034/476830/484580/100684140/100855756/100683938/486252/481126/486261/485719/484724/102156683/482667/487731/477625/486591/488942/483636/403961/485428/484038/488084/488340/403406/480271/610836/490295/487230/488402/483729/491369/607922/610380/403701/491437/483763/488790/489050/488167/100101479/483776/488824/490726/479473/480915/482045/489479/489110/100684945/100856162/486253/612303/490455/100683695/489168/448794/480181/489198/490878/492110/485016/492134/609429/490012/612414/607269/485072/485092/489644/608060/481778/481341/474584/481365/481367/481907/482386/482970/481944/475526/484405/403659/403464/484439/483302/493972/612463/487146/611663/485523/484670/475411/106559217",215
"Cellular Processes","Cell motility","cfa04820","Cytoskeleton in muscle cells","228/7472","235/9973",0.970212765957447,1.29495876805321,7.90884524040587,6.10304514347967e-21,6.95747146356682e-19,1.26343741566772e-19,"403580/403651/480522/606758/478209/478331/487554/481097/474811/611066/100683291/481734/484037/474771/479913/100856393/403484/475792/476404/609265/477598/479597/403743/492162/477779/485856/481280/484087/480684/475996/478332/476435/479772/477021/488636/403824/479215/478778/478820/476149/480137/610340/485837/478896/489013/609334/403668/479250/481344/483194/478293/480806/479497/479574/102156629/480191/403843/403440/478835/488958/403840/479675/474544/486493/607054/403496/607775/403841/476558/481036/486555/485597/475995/476383/481598/488984/477764/476595/482266/487362/478482/479836/503863/489210/482206/479252/100685160/491074/490729/608977/477206/490500/611023/403466/474663/483707/490488/609879/611246/475701/488437/100856491/486976/491446/490391/481498/480322/492249/476151/484637/481250/100856563/100683420/481491/477098/477680/475857/483624/100856683/482736/479269/474468/487486/403532/477823/100855693/485893/477974/476623/482030/612079/490714/478524/487119/403992/610946/480490/403614/480124/478836/403789/403788/100135061/403842/403845/403860/403904/403905/403966/403807/476644/497091/477991/487967/486043/100684937/486123/483318/484634/478353/476665/483706/484961/403566/490927/478309/475923/482907/403582/481873/610649/610614/485659/100684883/486772/482890/475442/488922/488930/486822/606901/488207/485899/487513/488368/490223/486613/490237/100856545/479191/487323/608287/487908/612430/487372/488429/490366/479469/608508/489479/479135/610359/489503/480977/403808/608242/489504/479502/490843/102153864/489208/485006/485070/611839/482083/100685969/479965/481783/475233/475253/607609/608080/100688336/482986/477956/485474/612463/484499",228
"Environmental Information Processing","Signal transduction","cfa04151","PI3K-Akt signaling pathway","338/7472","363/9973",0.931129476584022,1.24279366568154,8.14482376178225,4.22453510192378e-20,3.61197751214483e-18,6.5591466056185e-19,"403651/100856468/100855903/483783/442952/484147/403507/480436/478232/484955/481097/442860/442859/403784/479883/449021/475882/403416/100856477/399544/478053/610262/484335/442964/479875/474890/100856339/477374/491278/403417/477598/475590/403895/478127/403897/403560/484087/100686332/477021/481954/403824/491749/403668/612271/403429/612867/607060/607616/403431/479444/480580/442939/478347/403872/489095/480173/403437/102156629/489818/475034/403438/100683432/477600/403843/403439/403840/476626/477340/609956/609293/480621/474503/610817/475266/486493/403496/484990/490904/489957/479460/403841/403869/485046/480034/448807/442934/442951/488241/449028/100855806/491597/483312/480349/612305/480289/403871/100682877/489210/490280/484185/491074/403461/480255/487870/489188/479733/608977/403466/100856398/483664/403912/488437/100856491/403811/484648/483665/484196/481806/403647/607605/611993/478575/403727/100856563/100855877/609163/609830/480645/100683420/608623/477085/479351/485672/403492/484610/610835/403494/489223/487432/475108/485088/481131/611782/487486/612582/611939/100855509/490431/476036/478806/403721/474855/477575/474919/487119/480438/403537/487057/403617/403789/403656/403657/403985/403826/403714/403802/403735/403737/415125/403788/403795/403832/403842/403845/403851/403857/403858/403868/403870/403883/403915/403924/404002/610255/404019/403402/403785/404306/442985/442986/442953/477237/475545/100687866/487235/442968/403955/403511/480688/491290/483273/481105/476565/483318/484802/478353/476665/403989/403693/403618/610936/611934/611002/488508/489038/482839/482873/478471/474800/482666/403582/481873/610649/610614/485659/607724/403441/476179/486025/100855704/100855820/609626/486981/481497/608458/474722/483995/751768/482932/608459/608653/488930/488942/483636/609146/477796/607952/488368/486148/611707/483680/483681/481464/491587/607513/488084/488087/608287/610499/488389/611921/442954/612430/483729/491369/607922/483755/488429/490682/490334/490335/490942/483763/488146/486724/488808/610004/486731/486735/611773/483776/487421/608246/490404/489099/611641/491071/100855780/610359/609296/100856705/490433/491974/491978/607898/608225/612805/612303/484943/612418/490878/489208/612454/611734/611764/479363/489571/100534634/612139/611349/492265/612404/489644/611795/491313/489724/490174/490187/608847/481558/100686162/611406/609920/482154/475253/607609/611946/475176/481689/442938/483260/477956/484395/483266/106559760/475904/100856069/608378",338
"Environmental Information Processing","Signal transduction","cfa04014","Ras signaling pathway","224/7472","233/9973",0.96137339055794,1.2831607098547,7.55934549815612,8.94207315285075e-19,6.11637803654991e-17,1.11069961266988e-17,"608981/489968/485874/474652/483783/484147/403507/477488/442860/442859/449021/100856477/475875/607454/478696/442964/480056/100856339/480618/607929/483881/477240/481739/403895/476045/480052/100686332/486808/491749/479975/607616/403431/478347/403872/489095/431695/476413/403438/100683432/100686158/490548/490439/477340/609956/610817/484990/490904/479460/483808/442951/494009/494007/100855806/491597/486271/483312/403871/403461/474394/489287/489188/479733/612101/483664/403912/476865/403811/484648/477746/483665/481256/403727/100855877/480686/478207/608623/479158/477085/612869/403954/476352/489692/483225/477819/611939/490431/476036/100855786/490679/480048/478464/477575/607885/480416/403617/403656/403657/403714/403802/403735/415125/403857/403868/403915/403941/487514/404008/610255/403402/404306/442985/442986/477762/487235/442968/403955/403511/476998/611329/481271/610203/102151235/403618/403556/611002/478255/478514/482839/487761/478351/482666/607724/102153034/403441/486025/100855820/609626/608458/477082/485692/482932/487731/608459/486277/100856038/481145/477796/487512/607952/486291/608811/487515/404011/611707/483680/483681/481464/607513/488084/488087/611928/486361/612814/483729/480038/612841/489819/488774/490682/483763/489045/487546/488808/487398/487399/487397/491860/488167/486731/486735/611773/481742/479473/610409/487421/490404/611641/100855644/491071/100855780/100856705/490433/491974/607947/492067/490878/612454/610451/489997/490012/607269/100534634/100683481/612139/611349/612404/489644/611795/491292/482154/100271860/474584/100855828/474606/442938/484395/106559760/485167/485747/487146/484513/485772/484528/106559217",224
"Environmental Information Processing","Signal transduction","cfa04020","Calcium signaling pathway","241/7472","253/9973",0.952569169960474,1.27140957334259,7.55796734395974,2.34745243047495e-18,1.33804788537072e-16,2.42981918242144e-17,"486102/489968/403486/476535/485874/403846/612559/484147/444854/442860/403784/485773/478139/477160/100856477/487289/607357/607275/100686627/403866/482994/479797/403480/403943/486808/606963/483134/491749/477498/606491/100686810/484386/403776/490244/477187/403516/483925/479975/488012/403430/403431/403815/492093/484401/489095/486628/403438/403731/476034/477340/490904/479460/475272/481746/479678/448785/448783/448782/448781/474681/476595/484665/494009/494007/450240/450187/475345/489020/491597/610502/482687/608643/609027/610764/475738/479248/478624/403727/403494/611035/489692/489042/414755/476036/403615/100856261/489784/490031/403533/480416/403652/403657/403658/403802/403862/403756/415125/442979/403822/403812/403813/403814/403827/403836/403857/403858/403868/403881/403882/403883/403910/403914/403915/403928/403960/403962/403402/404306/442985/442986/477762/480830/607636/488696/491223/481105/612489/106559237/490383/403556/475630/488508/479255/403878/474789/492238/480660/485146/612941/478351/484024/487507/482666/484420/607724/102153034/100856025/403441/100855820/100684140/486261/448778/482932/484724/608459/477492/100856190/481142/488942/607952/485899/488578/485909/611707/483680/483681/483683/481464/484768/485333/485930/487336/490273/490624/491754/480271/480272/608401/486657/485963/482007/490305/608106/490929/491437/478910/487472/488808/486436/489050/486735/611773/483776/488824/480915/100855637/479120/488846/482045/490404/490755/489110/607303/611641/100686650/491083/491956/491974/403410/611517/489198/612454/481243/607658/490012/485056/607269/485063/490847/485092/612404/479981/484156/609046/482154/474584/481365/100855828/484395/483832/484405/485445/483302/493972/485586/483329/482814/487146/484670/100686426/476548",241
"Cellular Processes","Cellular community - eukaryotes","cfa04510","Focal adhesion","196/7472","202/9973",0.97029702970297,1.29507123624568,7.32294504469441,3.70109636963041e-18,1.80824994059086e-16,3.2836794858375e-17,"403580/403651/608981/489968/474652/478331/481097/442860/100683291/449021/475882/403416/399544/484671/100856393/476331/485864/442964/479875/100856339/403980/477598/485856/484087/479772/477021/403824/491749/403668/477187/488012/442939/478347/490010/480118/480173/102156629/475034/403438/403843/481084/403840/607207/490230/476626/490439/609956/480621/486934/486493/403496/490904/479460/403841/484526/480034/475294/442951/449028/475345/491597/100683226/483312/100682877/489210/479252/491074/484713/486299/608977/403466/488437/100856491/475846/489433/484648/477746/478575/403727/100856563/100855877/480369/100683420/479464/477085/403954/475032/476859/476352/482736/483225/475108/611782/487486/486676/476036/403558/478464/479921/477575/487119/403614/607885/480193/403789/403657/403826/403802/403735/403788/403832/403842/403845/403883/403936/610255/404306/442985/442986/442953/477032/487235/403557/442989/403955/476836/491290/483273/481271/483318/481215/478353/476665/475923/478471/482666/403582/481873/610649/610614/485659/100684883/403441/482932/100856038/488930/609146/488368/481464/488084/608287/442954/612430/612814/490642/608177/488774/488429/490682/490334/490335/481214/483763/487546/491860/608125/479135/100855780/610359/609296/492067/480181/490878/489208/485016/609429/100684309/485054/489644/608060/491286/608847/482154/475253/100855828/607609/481689/482970/483260/477956/475526/403543/484513/485772/475411/106559217",196
"Environmental Information Processing","Signal transduction","cfa04015","Rap1 signaling pathway","205/7472","214/9973",0.957943925233645,1.27858334667494,7.12052637894481,1.1315917512888e-16,4.83755473675962e-15,8.78472543763674e-16,"403580/608981/489968/485874/403507/478331/483489/442860/485773/449021/477160/100856477/487289/480379/475875/607357/607454/100856393/485864/442964/100856339/483881/482994/403856/100683352/403943/486808/609091/491749/403859/607616/479577/478347/403872/480454/489095/431695/476413/403438/477953/476034/477340/609956/484990/490904/479460/480543/442951/494009/494007/449621/491597/403871/442957/490390/489188/489092/612101/489547/489126/403811/484648/607397/489647/483665/478624/403727/609157/100855877/480686/611810/477085/483036/482407/403954/483225/487486/611939/490431/476036/100855786/100856359/479921/477575/490031/478227/480416/442858/403789/403656/403657/403714/403802/403735/415125/403770/403788/403857/403868/403915/403928/403936/403960/610255/403402/404306/442985/442986/477032/487235/403955/611329/481271/476565/484802/475923/488969/483214/487188/478351/474800/482666/607724/102153034/403441/100855820/609626/609779/608458/477082/482932/487731/608459/477625/100856190/486591/488942/607952/611707/483680/483681/481464/488084/485926/480271/607023/486205/488402/609521/483730/403701/486724/478686/488808/608125/486735/611773/484846/487421/489091/482045/106558389/489905/489928/611641/491071/100855780/100856705/490433/491974/491978/607947/480433/403410/490878/612454/485016/490012/100684309/607269/612821/612404/489644/611795/608060/491286/490187/489756/482299/482154/474584/100855828/481913/477956/484395/475526/610829/484427/477985/479355/475904/487146/106559217/483923/612583",205
"Human Diseases","Infectious disease: viral","cfa05165","Human papillomavirus infection","301/7472","328/9973",0.917682926829268,1.22484633689351,7.15689001472177,1.66207556476019e-15,6.31588714608873e-14,1.14692933708598e-14,"403651/100856468/479122/442952/480436/478232/481097/403408/100855667/442859/475061/480360/479883/449021/475882/474840/476541/479139/399544/479685/478053/610262/483691/403412/484335/442964/479450/474890/100856339/477374/481080/477598/475590/478127/403420/484087/477295/100855872/477021/403943/403824/490740/403668/403429/477740/479975/479877/479577/479444/480580/611694/442939/478347/403872/485116/480173/474628/477929/479550/475199/102156629/475034/483594/403843/477953/403840/476626/486756/609956/479331/480621/475266/486493/403496/475667/485769/403841/481457/488478/403869/485046/480034/442934/449028/483312/480349/480289/403871/100682877/489210/477714/490280/487309/477302/491074/486299/608977/403466/488437/100856491/476412/486469/484648/478950/481806/490099/478575/483376/100856563/100855877/609830/607899/100683420/484721/479010/611262/476209/477085/485672/484610/486137/486953/475108/541592/482528/481131/611782/487486/481111/611939/100855509/403523/403567/477575/474836/475035/487119/487057/442942/403589/403610/403789/403634/403657/403826/403802/476915/403735/403744/403788/403832/403842/403845/404306/442985/442953/477032/607705/403874/475545/487235/442968/480688/487073/491290/483273/403922/476565/478211/483318/489891/100688636/612591/611193/478353/476665/403693/403556/611934/483299/482839/607180/482873/479866/478471/607994/491942/403582/486245/481873/610649/610614/485659/611397/100855704/486232/482905/485839/612070/100856315/486093/477221/486560/488930/483636/481145/609146/477796/486841/485892/488368/403745/100685232/483148/487981/491587/474838/486894/490903/488084/490256/608287/485926/610499/488473/478650/607298/442954/612430/489809/483729/488036/490919/609107/491369/607922/481206/481726/483220/483755/490937/488429/490682/490334/490335/483763/612367/478686/488527/488528/611011/481506/481744/489464/610439/100684945/612802/610359/609296/100855884/482208/612303/482209/476714/490867/489538/490878/489208/100855851/100855811/489604/100685037/485084/489629/480676/489644/489756/610303/608847/481558/100686162/611406/481581/482294/609920/475253/481359/607609/612141/481689/612328/483260/477956/483845/482779/485149/482789/485158/609568/485183/483923",301
"Cellular Processes","Transport and catabolism","cfa04144","Endocytosis","231/7472","246/9973",0.939024390243902,1.25333113542592,6.95375501089845,2.60986244862741e-15,8.92572957430573e-14,1.62086194177913e-14,"479406/482044/606759/100049004/477292/478209/100685675/477834/474741/490341/609858/442860/474477/485189/607044/100856769/480037/491319/477751/477039/475549/476816/484671/476331/485864/100856651/491159/485039/480722/486327/403980/475356/100684384/479745/100688052/490648/475424/475762/477199/479667/481628/475346/607677/479075/479577/477568/479674/482852/403773/489095/609612/612219/484067/484642/483594/477953/475659/403439/483803/479481/487965/489533/611260/478336/100683160/607442/477520/487599/608821/475294/608795/442951/489104/484789/100855626/503863/484417/476423/100684058/474394/612856/483701/480470/491306/608485/475994/483627/483870/479353/474416/475846/487675/106560075/480487/607073/485406/477903/403703/485207/489597/612505/475833/478299/480263/475352/474533/479228/474850/478595/477680/608186/476189/474657/475857/403954/475095/488039/477256/612830/477303/475213/611619/476144/486562/481396/100855651/541592/608361/484949/479233/613007/489656/476674/490679/611477/479167/403957/477990/474836/482458/611239/486859/403702/403735/415125/403851/403870/403941/403958/404007/404008/404306/100856559/485842/606892/479744/480605/403864/100684653/608924/403693/476364/489806/477015/479210/100855895/477926/487188/475877/485557/607306/100688110/475611/483069/485693/100856747/477477/481130/486825/481454/486857/100856517/474838/485926/489369/403612/486915/607139/612498/483726/488409/487377/478907/612774/478686/488808/488167/489451/609100/484849/486746/486747/479473/607262/608738/491895/488840/475444/491063/491081/610902/480144/480578/487641/489553/491180/485054/609122/489756/481270/475206/608964/484375/476427/100683208/612343/100688009/608079/487157/483367/483923",231
