"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"cfa04382","Cornified envelope formation","4/14","194/9973",0.0206185567010309,14.6877761413844,7.21828162590304,0.000119269569033835,0.00419245230258893,0.00261517492559153,"PADI3/KRT28/KRT27/S100A8",4
"Environmental Information Processing","Signaling molecules and interaction","cfa04061","Viral protein interaction with cytokine and cytokine receptor","3/14","86/9973",0.0348837209302326,24.8496677740864,8.32811241592264,0.000210417138967629,0.00419245230258893,0.00261517492559153,"CCL23/CXCL8/CCL2",3
"Organismal Systems","Immune system","cfa04657","IL-17 signaling pathway","3/14","89/9973",0.0337078651685393,24.0120385232745,8.17581421122009,0.000232914016810496,0.00419245230258893,0.00261517492559153,"CXCL8/CCL2/S100A8",3
"Metabolism","Amino acid metabolism","cfa00350","Tyrosine metabolism","2/14","34/9973",0.0588235294117647,41.9033613445378,8.95724387223924,0.00100063533496708,0.0135085770220555,0.00842640282077538,"AOX4/LOC482436",2
"Metabolism","Amino acid metabolism","cfa00380","Tryptophan metabolism","2/14","44/9973",0.0454545454545455,32.3798701298701,7.82117514273874,0.00167386931141098,0.015142832912981,0.00944582170010512,"AOX4/LOC482436",2
"Organismal Systems","Immune system","cfa04062","Chemokine signaling pathway","3/14","181/9973",0.0165745856353591,11.8070244672455,5.501194578563,0.00184683839750595,0.015142832912981,0.00944582170010512,"CCL23/CXCL8/CCL2",3
"Human Diseases","Infectious disease: parasitic","cfa05144","Malaria","2/14","48/9973",0.0416666666666667,29.6815476190476,7.46801581760213,0.00198951284054335,0.015142832912981,0.00944582170010512,"CXCL8/CCL2",2
"Metabolism","Amino acid metabolism","cfa00280","Valine, leucine and isoleucine degradation","2/14","51/9973",0.0392156862745098,27.9355742296919,7.23034469065702,0.00224338265377497,0.015142832912981,0.00944582170010512,"AOX4/LOC482436",2
"Human Diseases","Infectious disease: bacterial","cfa05150","Staphylococcus aureus infection","2/14","76/9973",0.0263157894736842,18.7462406015038,5.82248881483026,0.00491515739436561,0.0294909443661936,0.0183959107157543,"KRT28/KRT27",2
"Environmental Information Processing","Signaling molecules and interaction","cfa04060","Cytokine-cytokine receptor interaction","3/14","274/9973",0.0109489051094891,7.79953076120959,4.27895807380475,0.0059634965223693,0.0313946045871385,0.0195833790796965,"CCL23/CXCL8/CCL2",3
"Human Diseases","Immune disease","cfa05323","Rheumatoid arthritis","2/14","87/9973",0.0229885057471264,16.376026272578,5.40058395996812,0.0063951972307134,0.0313946045871385,0.0195833790796965,"CXCL8/CCL2",2
"Environmental Information Processing","Signal transduction","cfa04064","NF-kappa B signaling pathway","2/14","99/9973",0.0202020202020202,14.3910533910534,5.02033923147625,0.00821343270597616,0.0335589008905792,0.0209334274561118,"BCL2A1/CXCL8",2
"Human Diseases","Endocrine and metabolic disease","cfa04933","AGE-RAGE signaling pathway in diabetic complications","2/14","102/9973",0.0196078431372549,13.9677871148459,4.93551718953435,0.00870045578644646,0.0335589008905792,0.0209334274561118,"CXCL8/CCL2",2
"Human Diseases","Infectious disease: parasitic","cfa05142","Chagas disease","2/14","102/9973",0.0196078431372549,13.9677871148459,4.93551718953435,0.00870045578644646,0.0335589008905792,0.0209334274561118,"CXCL8/CCL2",2
