NCBI gene (formerly Entrezgene) ID,Gene name,Gene description,Gene stable ID
476179,PHLPP1,PH domain and leucine rich repeat protein phosphatase 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MUJ1],ENSCAFG00845000002
,,,ENSCAFG00845000003
,,,ENSCAFG00845000004
,,,ENSCAFG00845000005
,,,ENSCAFG00845000006
476247,RMND1,required for meiotic nuclear division 1 homolog [Source:UniProtKB Gene Name;Acc:A0A8C0YZP5],ENSCAFG00845000007
100856150,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:UniProtKB Gene Name;Acc:A0A8I3RQK2],ENSCAFG00845000008
484109,CLVS2,clavesin 2 [Source:UniProtKB Gene Name;Acc:A0A8C0MT98],ENSCAFG00845000009
,,,ENSCAFG00845000010
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845000011
,,,ENSCAFG00845000012
,,,ENSCAFG00845000013
611986,ARMT1,acidic residue methyltransferase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0SV58],ENSCAFG00845000014
,,,ENSCAFG00845000015
476180,ZCCHC2,zinc finger CCHC-type containing 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MFC4],ENSCAFG00845000016
,,,ENSCAFG00845000017
,,,ENSCAFG00845000018
483923,PARD6G,par-6 family cell polarity regulator gamma [Source:UniProtKB Gene Name;Acc:A0A8C0M394],ENSCAFG00845000019
476248,CCDC170,coiled-coil domain containing 170 [Source:UniProtKB Gene Name;Acc:A0A8C0YZS7],ENSCAFG00845000020
100686027,ADNP2,ADNP homeobox 2 [Source:UniProtKB Gene Name;Acc:A0A8C0PN98],ENSCAFG00845000021
,,,ENSCAFG00845000022
,,,ENSCAFG00845000023
606936,RBFA,ribosome binding factor A [Source:VGNC Symbol;Acc:VGNC:111694],ENSCAFG00845000024
,,,ENSCAFG00845000025
476156,TXNL4A,thioredoxin like 4A [Source:UniProtKB Gene Name;Acc:A0A8I3MUJ9],ENSCAFG00845000026
,,,ENSCAFG00845000027
403640,ESR1,estrogen receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:403640],ENSCAFG00845000028
403776,TRDN,triadin [Source:VGNC Symbol;Acc:VGNC:47791],ENSCAFG00845000029
100686180,HSBP1L1,heat shock factor binding protein 1 like 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PNS7],ENSCAFG00845000030
,,,ENSCAFG00845000031
483957,TNFRSF11A,TNF receptor superfamily member 11a [Source:UniProtKB Gene Name;Acc:A0A8C0Q6N8],ENSCAFG00845000032
476157,SLC66A2,solute carrier family 66 member 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MJJ5],ENSCAFG00845000033
,,,ENSCAFG00845000034
,,,ENSCAFG00845000035
476181,RELCH,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:UniProtKB Gene Name;Acc:A0A8P0T6P2]",ENSCAFG00845000036
,,,ENSCAFG00845000037
119869841,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000038
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845000039
476322,ANXA1,annexin A1 [Source:NCBI gene (formerly Entrezgene);Acc:476322],ENSCAFG00845000040
100688012,NKAIN2,sodium/potassium transporting ATPase interacting 2 [Source:VGNC Symbol;Acc:VGNC:111592],ENSCAFG00845000041
476323,ALDH1A1,aldehyde dehydrogenase 1 family member A1 [Source:NCBI gene (formerly Entrezgene);Acc:476323],ENSCAFG00845000042
484037,SYNE1,spectrin repeat containing nuclear envelope protein 1 [Source:UniProtKB Gene Name;Acc:A0A8C0SZ04],ENSCAFG00845000043
484112,RNF217,ring finger protein 217 [Source:UniProtKB Gene Name;Acc:A0A8P0STR1],ENSCAFG00845000044
476158,CTDP1,CTD phosphatase subunit 1 [Source:UniProtKB Gene Name;Acc:A0A8C0M413],ENSCAFG00845000045
484168,TMC1,transmembrane channel like 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PBZ6],ENSCAFG00845000046
,,,ENSCAFG00845000047
612660,TPD52L1,TPD52 like 1 [Source:UniProtKB Gene Name;Acc:A0A8C0RV15],ENSCAFG00845000048
,,,ENSCAFG00845000049
476371,PEG3,paternally expressed 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MUK7],ENSCAFG00845000050
,,,ENSCAFG00845000051
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000052
,,,ENSCAFG00845000053
,,,ENSCAFG00845000054
,,,ENSCAFG00845000055
476324,ZFAND5,zinc finger AN1-type containing 5 [Source:UniProtKB Gene Name;Acc:A0A8C0RRK3],ENSCAFG00845000056
119870619,,,ENSCAFG00845000057
,,,ENSCAFG00845000058
,,,ENSCAFG00845000059
,,,ENSCAFG00845000060
,,,ENSCAFG00845000061
,,,ENSCAFG00845000062
,,,ENSCAFG00845000063
100684289,NOL8,nucleolar protein 8 [Source:UniProtKB Gene Name;Acc:A0A8C0RVU8],ENSCAFG00845000064
102154522,ZIM2,zinc finger imprinted 2 [Source:UniProtKB Gene Name;Acc:A0A8C0QKR2],ENSCAFG00845000065
476281,HDDC2,HD domain containing 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MFE4],ENSCAFG00845000066
,,,ENSCAFG00845000067
476182,PIGN,phosphatidylinositol glycan anchor biosynthesis class N [Source:UniProtKB Gene Name;Acc:A0A8I3MH24],ENSCAFG00845000068
484169,GDA,guanine deaminase [Source:UniProtKB Gene Name;Acc:A0A8C0PUH1],ENSCAFG00845000069
